[1-50] | Discriminator loss:2.636066 | Fake loss:-0.749068 | Real loss:0.651490 | GP loss:2.207217 | Classifier loss:0.526428 | Generator loss:32.867195 | GAN loss:-0.554834 | Classifier loss:4.915616 | reconstruction loss:28.506413
[1-100] | Discriminator loss:0.127743 | Fake loss:-0.884897 | Real loss:-0.049565 | GP loss:0.536307 | Classifier loss:0.525898 | Generator loss:23.690344 | GAN loss:-1.323323 | Classifier loss:5.643279 | reconstruction loss:19.370388
[1-150] | Discriminator loss:-8.148043 | Fake loss:-5.500217 | Real loss:-3.772620 | GP loss:0.672100 | Classifier loss:0.452696 | Generator loss:29.785395 | GAN loss:6.372098 | Classifier loss:4.888900 | reconstruction loss:18.524397
[1-50] | Discriminator loss:-0.691429 | Fake loss:2.039336 | Real loss:-4.574871 | GP loss:1.271542 | Classifier loss:0.572563 | Generator loss:30.450268 | GAN loss:-0.103314 | Classifier loss:5.827772 | reconstruction loss:24.725809
[1-100] | Discriminator loss:-1.134286 | Fake loss:0.406918 | Real loss:-3.200777 | GP loss:1.129650 | Classifier loss:0.529923 | Generator loss:23.898134 | GAN loss:1.076771 | Classifier loss:5.275424 | reconstruction loss:17.545938
[1-150] | Discriminator loss:-0.905131 | Fake loss:1.420056 | Real loss:-3.516472 | GP loss:0.636529 | Classifier loss:0.554756 | Generator loss:17.960424 | GAN loss:-2.257443 | Classifier loss:5.682386 | reconstruction loss:14.535480
[1-200] | Discriminator loss:-4.940728 | Fake loss:-2.759442 | Real loss:-5.301911 | GP loss:2.587328 | Classifier loss:0.533296 | Generator loss:19.057354 | GAN loss:-1.767937 | Classifier loss:5.510989 | reconstruction loss:15.314303
[1-50] | Discriminator loss:1.194009 | Fake loss:-0.216075 | Real loss:-0.784175 | GP loss:1.646112 | Classifier loss:0.548147 | Generator loss:31.452404 | GAN loss:-0.324903 | Classifier loss:5.858559 | reconstruction loss:25.918747
[1-100] | Discriminator loss:2.304953 | Fake loss:-4.061186 | Real loss:3.503598 | GP loss:2.332071 | Classifier loss:0.530470 | Generator loss:26.866896 | GAN loss:3.243835 | Classifier loss:5.272606 | reconstruction loss:18.350454
[1-150] | Discriminator loss:-0.519049 | Fake loss:-4.716347 | Real loss:3.193686 | GP loss:0.455155 | Classifier loss:0.548456 | Generator loss:25.368666 | GAN loss:6.024638 | Classifier loss:5.583818 | reconstruction loss:13.760209
[1-200] | Discriminator loss:-2.088527 | Fake loss:-11.649515 | Real loss:8.341639 | GP loss:0.688832 | Classifier loss:0.530518 | Generator loss:30.728960 | GAN loss:8.619211 | Classifier loss:5.502268 | reconstruction loss:16.607481
[1-50] | Discriminator loss:-0.372513 | Fake loss:2.348090 | Real loss:-4.085408 | GP loss:0.822919 | Classifier loss:0.541887 | Generator loss:32.031845 | GAN loss:1.108312 | Classifier loss:5.760689 | reconstruction loss:25.162844
[1-100] | Discriminator loss:0.660696 | Fake loss:2.201015 | Real loss:-3.547647 | GP loss:1.476253 | Classifier loss:0.531074 | Generator loss:22.008984 | GAN loss:-0.574109 | Classifier loss:5.282125 | reconstruction loss:17.300968
[1-150] | Discriminator loss:0.950894 | Fake loss:-0.428529 | Real loss:-0.247691 | GP loss:1.077008 | Classifier loss:0.550107 | Generator loss:19.264297 | GAN loss:0.807585 | Classifier loss:5.563169 | reconstruction loss:12.893544
[1-200] | Discriminator loss:-0.656971 | Fake loss:-0.177605 | Real loss:-1.855383 | GP loss:0.840810 | Classifier loss:0.535208 | Generator loss:25.379883 | GAN loss:3.747127 | Classifier loss:5.496175 | reconstruction loss:16.136581
[1-50] | Discriminator loss:4.598742 | Fake loss:1.096981 | Real loss:-0.956364 | GP loss:3.898584 | Classifier loss:0.559541 | Generator loss:31.145550 | GAN loss:-0.910697 | Classifier loss:5.854865 | reconstruction loss:26.201382
[1-100] | Discriminator loss:0.750060 | Fake loss:0.621825 | Real loss:-1.050698 | GP loss:0.650130 | Classifier loss:0.528802 | Generator loss:22.776541 | GAN loss:-0.613177 | Classifier loss:5.267272 | reconstruction loss:18.122446
